COVID_ambulanta_pri_zdravstvenoj_ustanovi,Grad/opština,Adresa,Broj_zgrade,Geo_Latitude,Geo_Longitude,Kontakt_telefon,Mobilni_telefon,Radni_dan_radno_vreme_od,Radni_dan_radno_vreme_do,Vikend_radno_vreme_od,Vikend_radno_vreme_do,Prilaz_za_invalide
DOM ZDRAVLJA ADA,ADA,JOŽEFA ATILE,9,45.7954113,20.1297865,,+381 631097776,7,22,7,22,DA
DOM ZDRAVLJA ALIBUNAR,ALIBUNAR,TRG SLOBODE,8,45.0796916,20.9664953,+381 13641063,,7,22,7,22,DA
DOM ZDRAVLJA APATIN,APATIN,NUŠIĆEVA,1,45.6731417,18.9773766,+381 25773503,+381 648292091,7,22,7,22,NE
DOM ZDRAVLJA ARILJE,ARILJE,VOJVODE MIŠIĆA,26,43.7498478,20.0961678,,+381 648170573,7,22,7,22,NE
DOM ZDRAVLJA BABUŠNICA,BABUSNICA,IVICE MILADINOVIĆA,1,43.0607046,22.4004417,+381 384194,+381 606004955,7,22,7,22,DA
DOM ZDRAVLJA BAČ RESPIRATORNI CENTAR,BAČ,BAČKA,2,45.3922484,19.2305568,+381 648940232,,0,24,0,24,DA
DOM ZDRAVLJA BAČKA PALANKA,BAČKA PALANKA,KRALJA PETRA I,26,45.2486492,19.3886563,+381 217550384,,7,22,7,22,DA
DOM ZDRAVLJA BAČKA TOPOLA,BAČKA TOPOLA,SVETOG STEFANA,1,45.8216736,19.6309974,+381 24773193,+381 646591028,0,24,0,24,DA
DOM ZDRAVLJA BAČKI PETROVAC RESPIRATORNI CENTAR,BAČKI PETROVAC,MARŠALA TITA,6,45.3597129,19.5918179,+381 21780015,+381 628022119,7,22,7,22,DA
DOM ZDRAVLJA BAJINA BAŠTA,BAJINA BAŠTA,MILANA OBRENOVIĆA,72,43.9747038,19.5577133,,+381 648170576,7,22,7,22,DA
DOM ZDRAVLJA BEČEJ,BEČEJ,BRAĆE TAN,3,45.6150937,20.0499346,+381 216915310,+381 628862065,7,18,0,24,DA
DOM ZDRAVLJA BELA CRKVA,BELA CRKVA,JOVANA POPOVIĆA,BB,44.8978536,21.4204242,+381 13853020,,0,24,0,24,DA
DOM ZDRAVLJA BELA PALANKA,BELA PALANKA,BRANISLAVA NUŠIĆA,2,44.8978536,21.4204242,+381 18853087,,7,22,7,22,NE
DOM ZDRAVLJA BEOČIN,BEOČIN,SVETOSAVSKA,BB,45.2074348,19.7232887,+381 21872888,,7,22,7,22,DA
DOM ZDRAVLJA BARAJEVO,BEOGRAD,ČEDOMIRA ĐOINČEVIĆA,95,44.58286,20.41542,+381 698225363,+381 698225354,7,22,7,22,DA
DOM ZDRAVLJA VOZDOVAC,BEOGRAD,USTANIČKA,125B,44.78441,20.49178,+381 112440491,+381 628000926,7,22,7,22,NE
DOM ZDRAVLJA VRAČAR,BEOGRAD,BOJANSKA,16,44.79726,20.48418,+381 698851684,+381 698851636,7,22,7,22,DA
DOM ZDRAVLJA GROCKA,BEOGRAD,SMEDEREVSKI PUT,BB,44.7452133,20.5956868,+381 118035121,+381 698324140,0,24,0,24,DA
DOM ZDRAVLJA ZVEZDARA - AMBULANTA SEVERNI BULEVAR,BEOGRAD,VELJKA DUGOŠEVIĆA,44,44.805303,20.4971812,+381 12416866,+381 698231456,7,22,7,22,DA
DOM ZDRAVLJA ZEMUN,BEOGRAD,TOPLIČKA,8,44.8455749,20.3819687,+381 112616288,+381 608871568,7,22,7,22,DA
DOM ZDRAVLJA ZEMUN - ZDRAVSTVENA STANICA SURČIN,BEOGRAD,BRAĆE PUHALOVIĆ,12,44.792293,20.2702178,+381 112616288,+381 608871686,7,22,7,22,DA
DOM ZDRAVLJA LAZAREVAC,BEOGRAD,DR. ĐORĐA KOVAČEVIĆA,27,44.3820986,20.2746195,+381 118121712,+381 600457399,7,22,7,22,DA
DOM ZDRAVLJA MLADENOVAC,BEOGRAD,KRALJICE MARIJE,15,44.4425017,20.6958993,+381 118241574,+381 608225269,7,22,7,18,DA
DOM ZDRAVLJA NOVI BEOGRAD,BEOGRAD,OMLADINSKIH BRIGADA,104,44.8057338,20.3980237,+381 112095414,+381 601013828,7,22,7,22,DA
DOM ZDRAVLJA OBRENOVAC,BEOGRAD,VOJVODE MIŠIĆA,231,44.655926,20.202362,+381 118724253,+381 648200926,0,24,0,24,DA
DOM ZDRAVLJA PALILULA - STARA PALILULA,BEOGRAD,KNEZ DANILOVA,16,44.810727,20.4750706,+381 113229260,,7,22,7,22,DA
DOM ZDRAVLJA PALILULA - KARABURMA,BEOGRAD,PANA ĐUKIĆA,7,44.8135235,20.5116579,+381 11278223,,7,18,7,18,NE
DOM ZDRAVLJA PALILULA - BORČA I,BEOGRAD,IVANA MILUTINOVIĆA,10,44.8721765,20.4580944,+381 113324578,,7,18,7,18,DA
DOM ZDRAVLJA RAKOVICA,BEOGRAD,SRPSKIH UDARNIH BRIGADA,6,44.7545784,20.4548633,+381 113052069,+381 628856512,7,22,7,22,DA
DOM ZDRAVLJA SAVSKI VENAC,BEOGRAD,VOJVODE MILENKA,6,44.8048069,20.4557694,+381 113616329,+381 648219233,7,22,7,22,DA
DOM ZDRAVLJA SOPOT,BEOGRAD,JELICE MILOVANOVIĆ,12,44.5196672,20.577637,+381 118251223,+381 658225345,0,24,0,24,DA
DOM ZDRAVLJA STARI GRAD,BEOGRAD,TOPLIČIN VENAC,29,44.8162659,20.4567466,+381 112635344,+381 63642062,0,24,0,24,DA
DOM ZDRAVLJA ČUKARICA,BEOGRAD,STEVANA ĐURĐEVIĆA TROŠARINCA,2,44.77685,20.40613,+381 13547235,+381 648186999,7,22,7,22,DA
DOM ZDRAVLJA BOGATIĆ,BOGATIĆ,MIJE JOVANOVIC,25,44.8300446,19.4817952,,+381 698941568,7,22,7,22,DA
DOM ZDRAVLJA BOLJEVAC,BOLJEVAC,DRAGIŠE PETROVIĆ,41,43.8292039,21.9521858,+381 30463773,,7,22,7,22,DA
DOM ZDRAVLJA BOR,BOR,NIKOLE KOPERNIKA,2,44.0551714,22.1023037,+381 30423777,,7,15,,,DA
BOR AMBULANTA RUDAR,BOR,MOŠE PIJADE,39,44.0711544,22.0988274,+381 030426382,,7,22,7,22,DA
DOM ZDRAVLJA BOSILEGRAD,BOSILEGRAD,PORODIN,11,42.4987623,22.4771652,+381 17877124,,7,22,7,22,DA
DOM ZDRAVLJA BUJANOVAC,BUJANOVAC,KARAĐORĐA PETROVIĆA,328,42.4633856,21.7759969,+381 600194193,+381 646339952,7,22,7,22,NE
DOM ZDRAVLJA ČAČAK,ČAČAK,VESELINA MILIKICA,1,43.8923903,20.3439659,+381 32325717,,0,24,0,24,DA
DOM ZDRAVLJA ČAČAK,ČAČAK,KNICANINOVA,3,43.9012932,20.3463735,+381 32356993,,7,22,0,22,NE
DOM ZDRAVLJA ČAJETINA,ČAJETINA,KRALJA ALEKSANDRA KARAĐORĐEVIĆA,31,43.749496,19.7157811,,+381 648170574,7,22,7,22,NE
DOM ZDRAVLJA ČOKA,ČOKA,SENĆANSKA,3,45.9418733,20.1373867,+381 230471066,,0,24,0,24,NE
DOM ZDRAVLJA ĆUPRIJA,ĆUPRIJA,KNEZA MILOŠA,BB,43.9251233,21.3716743,+381 358471907,+381 648959582,7,22,7,22,NE
OPŠTA BOLNICA ĆUPRIJA,ĆUPRIJA,MIODRAGA NOVAKOVIĆA,78,43.9415736,21.3761923,+381 358470775,,0,24,0,24,DA
DOM ZDRAVLJA DESPOTOVAC,DESPOTOVAC,SAVEZ BORACA,74,44.093138,21.4408978,+381 35611210,+381 62287883,0,24,0,24,DA
DOM ZDRAVLJA DIMITROVGRAD,DIMITROVGRAD,HRISTO SMIRNENSKI,2,43.0137442,22.7735684,+381 10361266,,0,24,0,24,DA
DOM ZDRAVLJA DONJA GUŠTERICA,DONJA GUŠTERICA,DONJA GUŠTERICA,,42.5449195,21.1780465,+381 3886894,,0,24,0,24,DA
DOM ZDRAVLJA GORNJI MILANOVAC,GORNJI MILANOVAC,TIHOMIRA MATIJEVIĆA,1,44.0226258,20.4610158,+381 32710051,+381 648090584,7,22,7,22,DA
KBC PRIŠTINA,GRAČANICA,DRAGANA RISTIĆA,BB,42.6004747,21.1883274,+381 3864804,,0,24,0,24,DA
DOM ZDRAVLJA LUČANI ZDRAVSTVENA STANICA GUČA,GUČA,REPUBLIKE,BB,43.7817823,20.2258472,+381 328550520,,7,19,7,19,NE
DOM ZDRAVLJA DR MILORAD - MIKA PAVLOVIĆ INĐIJA,INĐIJA,SRPSKOCRKVENA,5,45.0466771,20.077342,+381 22561282,,7,22,7,22,DA
DOM ZDRAVLJA IRIG,IRIG,VOJVODE PUTNIKA,5,45.0991189,19.8615679,,+381 628881095,7,22,7,22,DA
DOM ZDRAVLJA IVANJICA,IVANJICA,13. SEPTEMBRA,39,43.5877419,20.22598,,+381 648647153,0,24,0,24,DA
DOM ZDRAVLJA JAGODINA,JAGODINA,KARAĐORĐEVA,BB,43.9798906,21.2443699,+381 648198144,+381 648198145,0,24,0,24,DA
DOM ZDRAVLJA KANJIŽA,KANJIŽA,KARAĐORĐEVA,53,46.0651171,20.0516179,+381 24874213,,7,22,7,22,DA
DOM ZDRAVLJA KANJIŽA,KANJIŽA,KARAĐORĐEVA ,53,46.0651171,20.0516179,+381 24874213,,7,22,7,22,DA
DOM ZDRAVLJA KIKINDA,KIKINDA,SVETOSAVSKA,53,45.8260415,20.4592399,+381 230316204,,7,22,7,22,DA
OPŠTA BOLNICA KIKINDA,KIKINDA,ĐURE JAKŠIĆA,110,45.8334367,20.4789012,,+381 648865926,0,24,0,24,DA
DOM ZDRAVLJA KIKINDA,KIKINDA,SVETOSAVSKA ,53,45.8260415,20.4592399,+381 230316204,,7,22,7,22,DA
ZDRAVSTVENI CENTAR KLADOVO,KLADOVO,DUNAVSKA,1,44.6112608,22.6116657,+381 19801631,+381 698838014,7,22,7,22,DA
ZDRAVSTVENI CENTAR KNJAŽEVAC,KNJAŽEVAC,4. JULI,2,43.563904,22.2474567,+381 19731526,+381 648950052,0,24,0,24,DA
DOM ZDRAVLJA KOCELJEVA,KOCELJEVA,NEMANJINA,8,44.4626881,19.8220363,+381 15557280,+381 648040672,7,22,7,22,NE
DOM ZDRAVLJA KOSJERIĆ,KOSJERIĆ,STANOJA PAVLOVIĆA,2,43.9935048,19.911824,,+381 648170572,7,22,7,22,DA
DOM ZDRAVLJA KOSOVSKA MITROVICA,KOSOVSKA MITROVICA,DŽONA KENEDIJA,BB,42.898703,20.8656033,+381 28425464,,0,24,0,24,DA
ZAVOD ZA JAVNO ZDRAVLJE PRIŠTINA – KOSOVSKA MITROVICA,KOSOVSKA MITROVICA,ANRI DINANA,BB,42.8917725,20.8612818,+381 28498275,+381 648252820,0,24,0,24,DA
DOM ZDRAVLJA KOVAČICA,KOVAČICA,ŠTUROVA,42,45.1125692,20.6140821,,+381 628082033,0,24,0,24,DA
DOM ZDRAVLJA KOVIN,KOVIN,TRG OSLOBODJENJA,4,44.7428392,20.9776231,+381 13744911,,0,24,0,24,DA
DOM ZDRAVLJA KRALJEVO,KRALJEVO,CARA LAZARA,63,43.7230402,20.6913938,+381 3630177,+381 605762280,7,22,7,22,NE
DOM ZDRAVLJA KRUPANJ,KRUPANJ,VLADE ZEČEVIĆA,61,44.3663741,19.3688268,+381 15710437,,7,22,7,22,DA
DOM ZDRAVLJA,LAJKOVAC,SVETOG SAVE,BB,44.3694931,20.1609457,+381 143431237,,7,22,7,22,DA
DOM ZDRAVLJA LEPOSAVIĆ,LEPOSAVIĆ,24. NOVEMBRA,BB,43.1014119,20.8049891,+381 2883135,,0,24,0,24,DA
DOM ZDRAVLJA LJUBOVIJE,LJUBOVIJA,VOJVODE MIŠIĆA,58,44.1883119,19.3704944,+381 15651826,,7,22,7,22,DA
"DOM ZDRAVLJA DR ""MILENKO MARIN"" LOZNICA",LOZNICA,BOLIČKA,65,44.5370657,19.2298283,+381 15892540,+381 64892540,7,22,7,22,DA
DOM ZDRAVLJA LUČANI ZDRAVENA STANICA LUČANI,LUČANI,JUGOSLOVENSKE ARMIJE,BB,43.8589099,20.1360244,+381 32817124,,7,19,7,19,DA
DOM ZDRAVLJA DR VEROLJUB CAKIĆ,MAJDANPEK,KAPETANSKA,30,44.4244688,21.9407544,+381 30584552,+381 698494139,0,24,0,24,DA
DOM ZDRAVLJA MALI IĐOŠ,MALI IĐOŠ,ZANATLIJSKA,1,45.7058411,19.6664221,,+381 631184305,0,24,0,24,NE
DOM ZDRAVLJA MALI ZVORNIK,MALI ZVORNIK,RIBARSKA,25,44.3738503,19.1028374,+381 15472058,,7,22,7,22,DA
DOM ZDRAVLJA,MIONICA,KNEZA GRBOVIĆA,37,44.2483491,20.087866,+381 143421124,,7,22,7,22,DA
ZDRAVSTVENI CENTAR NEGOTIN,NEGOTIN,BADNJEVSKA,4,44.2319608,22.5280022,+381 065746,,7,22,7,22,DA
DOM ZDRAVLJA SRPSKA CRNJA,NOVA CRNJA,PATRIJARHA ARSENIJA ČARNOJEVIĆA,15,45.7261502,20.6895556,+381 23811022,,7,22,7,22,NE
DOM ZDRAVLJA NOVA VAROŠ,NOVA VAROŠ,SLOBODANA NIKAČEVIĆA,8,43.4599545,19.7996233,,+381 648170575,7,22,7,22,DA
DOM ZDRAVLJA NOVI BEČEJ,NOVI BEČEJ,TRG OSLOBOĐENJA,2,45.5947248,20.1317832,,+381 600809413,7,22,7,22,DA
DOM ZDRAVLJA NOVI KNEŽEVAC,NOVI KNEŽEVAC,KRALJA PETRA I,85,46.0407643,20.1012161,,,0,24,0,24,DA
DOM ZDRAVLJA NOVI PAZAR,NOVI PAZAR,DIMITRIJA TUCOVIĆA,2,43.1339173,20.5116758,+381 20311077,,7,22,7,22,DA
DOM ZDRAVLJA NOVI SAD RESPIRATORNI CENTAR NOVO NASELJE - ZA ODRASLE,NOVI SAD,BULEVAR SLOBODANA JOVANOVIĆA,2,45.2509157,19.805146,+381 214879213,,0,24,,,DA
DOM ZDRAVLJA NOVI SAD RESPIRATORNI CENTAR NOVO NASELJE - ZA DECU,NOVI SAD,BULEVAR SLOBODANA JOVANOVIĆA,9,45.2509157,19.805146,+381 214879225,,0,24,0,24,DA
DOM ZDRAVLJA NOVI SAD RESPIRATORNI CENTAR JOVAN JOVANOVIĆ ZMAJ - ZA TRUDNICE,NOVI SAD,ZMAJ OGNJENA VUKA ,24,45.2613704,19.8368883,+381 214879570,,7,18,7,15,DA
DOM ZDRAVLJA NOVI SAD RESPIRATORNI CENTAR JOVAN JOVANOVIĆ ZMAJ - ZA ODRASLE,NOVI SAD,ZMAJ OGNJENA VUKA ,24,45.2613704,19.8368883,+381 214879457,,0,24,0,24,DA
DOM ZDRAVLJA OPOVO,OPOVO,BORISA KIDRIČA,6,45.0524641,20.4237092,,+381 628803155,0,24,0,24,DA
DOM ZDRAVLJA,OSEČINA,MILENKA PAVLOVIĆA,13,44.37194,19.6047568,+381 14315019,,7,22,7,22,NE
DOM ZDRAVLJA PANČEVO,PANČEVO,ZMAJ JOVINA,10,44.8721248,20.6435074,,+381 62873110,0,24,0,24,DA
DOM ZDRAVLJA PARAĆIN,PARAĆIN,MAJORA MARKA,10,43.8645055,21.4140067,+381 358155241,+381 62562820,7,22,7,22,DA
ZDRAVSTVENI CENTAR GNJILANE,PASJANE GNJILANE,PASJANE,,42.4020575,21.4965963,+381 32874208,,0,24,0,24,DA
DOM ZDRAVLJA DR DRAGAN FUNDUK PEĆINCI,PEĆINCI,JOVE NEGUŠEVIĆA,3,44.9084267,19.9645629,,+381 62789197,0,24,0,24,NE
OPŠTA BOLNICA,PIROT,VOJVOD MOMČILA,1,43.1594518,22.5649768,+381 10305371,,7,19,7,19,DA
DOM ZDRAVLJA PIROT - AMBULANTA TIJABARA,PIROT,PAJE JOVANOVIĆA,46,43.1632957,22.5934448,+381 10311958,,7,22,7,22,NE
DOM ZDRAVLJA PLANDIŠTE,PLANDIŠTE,KARAĐORĐEVA,13,45.2304409,21.1226573,,+381 628046506,7,22,7,22,DA
DOM ZDRAVLJA POŽEGA,POŽEGA,JUG BOGDANOVA,1,43.8453657,20.0305235,,+381 648170571,7,22,7,22,DA
DOM ZDRAVLJA PREŠEVO,PREŠEVO,15. NOVEMBARA,88,42.3052714,21.6530383,+381 17669194,+381 603335762,7,22,7,22,DA
DOM ZDRAVLJA PRIBOJ,PRIBOJ,LIMSKA,18,43.5636514,19.5383745,,+381 648170577,7,22,7,22,DA
DOM ZDRAVLJA PRIJEPOLJE,PRIJEPOLJE,RAJKA DIVCA,2,43.3899244,19.6640313,,+381 648170578,7,22,7,22,DA
DOM ZDRAVLJA RAŠKA,RAŠKA,DR JOVANOVIĆA,4,43.2856632,20.6149516,+381 36737766,+381 628816440,0,24,0,24,DA
DOM ZDRAVLJA REKOVAC,REKOVAC,KRALJA PETRA I,1,43.8655814,21.0893417,+381 648397420,+381 648397424,0,24,0,24,NE
DOM ZDRAVLJA RUMA,RUMA,ORLOVIĆEVA,BB,45.0140269,19.8212202,+381 22471220,+381 69701159,7,22,7,22,DA
"DOM ZDRAVLJA ""DR DRAGA LJOČIĆ"" ŠABAC",ŠABAC,POPA KARANA,2,44.7532472,19.6949734,+381 15363505,,7,22,7,22,DA
DOM ZDRAVLJA SEČANJ,SEČANJ,PARTIZANSKI PUT,BB,45.3662336,20.7728506,+381 62215113,,7,24,0,24,DA
DOM ZDRAVLJA SENTA,SENTA,BOŠKA JUGOVIĆA,6,45.928618,20.0871791,+381 628066879,+381 628066879,7,22,7,22,DA
DOM ZDRAVLJA ŠID,ŠID,ALEKSE ŠANTIĆA,1,45.1253594,19.2224717,,+381 607124240,7,22,7,22,NE
DOM ZDRAVLJA SJENICA,SJENICA,TADIJE ANDRIĆA,10,43.2752408,19.9942428,,+381 648170579,7,22,7,22,DA
DOM ZDRAVLJA SRBOBRAN,SRBOBRAN,JOVANA POPOVIĆA,25,45.548798,19.7853032,+381 645933700,,7,22,7,22,DA
DOM ZDRAVLJA SREMSKA MITROVICA,SREMSKA MITROVICA,PROMENADA,BB,44.9736611,19.6034892,,+381 648770563,7,22,7,22,DA
DOM ZDRAVLJA DR JOVAN JOVANOVIĆ ZMAJ,STARA PAZOVA,VLADIMIRA HURBANA,2,44.98264,20.1580184,+381 22310284,+381 62763493,7,19,7,19,DA
DOM ZDRAVLJA ŠTRPCE,ŠTRPCE,ŠTRPCE,,42.2376223,21.0168824,+383 2970803,,0,24,0,24,DA
DOM ZDRAVLJA SUBOTICA,SUBOTICA,HARAMBAŠIĆEVA,2,46.09774,19.65934,+381 24546104,+381 659185602,0,24,0,24,DA
OPŠTA BOLNICA SUBOTICA,SUBOTICA,IZVORSKA ,3,46.0813506,19.6712579,+381 24555222,,0,24,0,24,DA
ZDRAVSTVENI CENTAR SURDULICA,SURDULICA,SRPSKIH VLADARA,111,42.6845285,22.1680948,+381 62255863,,7,22,7,22,DA
DOM ZDRAVLJA SVILAJNAC,SVILAJNAC,KRALJA PETRA I,47,44.2293528,21.1957025,+381 35321260,,0,24,0,24,DA
DOM ZDRAVLJA TEMERIN,TEMERIN,NARODNOG FRONTA,82,45.4081991,19.8928206,+381 212102231,,7,22,7,22,DA
DOM ZDRAVLJA TITEL,TITEL,GLAVNA,22,45.2043847,20.3079191,,+381 648040337,7,22,7,22,DA
DOM ZDRAVLJA TRGOVIŠTE,TRGOVIŠTE,KRALJA PETRA PRVOG,81,42.3646943,22.0810316,+381 17452294,,0,24,0,24,NE
DOM ZDRAVLJA TUTIN,TUTIN,BOGOLJUBA ČUKIĆA,12,42.9900354,20.3391304,+381 20811322,,7,22,7,22,NE
DOM ZDRAVLJA,UB,DOBROSAVA SIMIĆA,1,44.4577146,20.0753919,+381 14411165,,7,22,7,22,DA
DOM ZDRAVLJA KOSOVO POLJE,UGLJARE,UGLJARE,,42.6282537,21.1048999,+381 3884426,,0,24,0,24,DA
DOM ZDRAVLJA UŽICE,UŽICE,KOSOVSKA,BB,43.8589197,19.8403164,,+381 648170570,7,22,7,22,NE
OPŠTA BOLNICA,VALJEVO,PASTEROVA,BB,44.2770184,19.89655,+381 14295295,,0,24,0,24,DA
DOM ZDRAVLJA,VALJEVO,TRG VLADIKE NIKOLAJA,5,44.280112,19.9182769,+381 14239798,,0,24,0,24,NE
ZAVOD ZA JAVNO ZDRAVLJE,VALJEVO,VLADIKE NIKOLAJA,5,44.2744222,19.882336,+381 14236731,,7,15,,,DA
DOM ZDRAVLJA VLADIČIN HAN,VLADIČIN HAN,NIKOLE TESLE,66,42.7059854,22.064963,+381 624210134,,7,22,7,22,NE
DOM ZDRAVLJA VLADIMIRCI,VLADIMIRCI,SVETOG SAVE,17,44.619936,19.7864846,+381 15514712,+381 648220268,7,22,7,22,NE
ZDRAVSTVENI CENTAR VRANJE,VRANJE,CETINJSKA,2,42.5571412,21.8929352,+381 177404750,,7,22,7,22,DA
DOM ZDRAVLJA VRBAS,VRBAS,PALIH BORACA,20,45.5710416,19.6385443,+381 217954434,+381 62780289,0,24,0,24,DA
DOM ZDRAVLJA VRNJAČKA BANJA,VRNJAČKA BANJA,NOVO SELO,103,44.9874832,20.7823026,+381 36632255,+381 605762280,7,22,7,22,DA
DOM ZDRAVLJA VRŠAC,VRŠAC,ABRAŠEVIĆEVA,BB,45.1206495,21.3082603,+381 1380900,,0,24,0,24,DA
DOM ZDRAVLJA ŽABALJ,ŽABALJ,NIKOLE TESLE,66,45.3715989,20.0634998,,+381 648057236,7,18,7,18,DA
ZDRAVSTVENI CENTAR ZAJEČAR,ZAJEČAR,RASADNIČKA,BB,43.8933832,22.2899294,,+381 648601485,0,24,0,24,DA
DOM ZDRAVLJA ŽITIŠTE,ŽITIŠTE,VOJVOĐANSKA,16,45.4839653,20.5554485,+381 233821010,,7,24,0,24,NE
DOM ZDRAVLJA DR. BOSKO VREBALOV ZRENJANIN,ZRENJANIN,BARANJSKA,18,45.377533,20.4211403,,+381 648279395,7,22,7,22,DA
DOM ZDRAVLJA ZUBIN POTOK,ZUBIN POTOK,VOJVODE RADA,10,42.9135314,20.6864386,+381 2846041,,0,24,0,24,DA
DOM ZDRAVLJA ZVEČAN,ZVEČAN,BUBE MIHAJLOVIĆ,,42.9079218,20.8398961,+381 28664893,,0,24,0,24,DA
DOM ZDRAVLJA GADŽIN HAN,GADŽIN HAN,MILOŠA OBILIĆA,10,43.226418,22.0317456,+381 18850155,,7,18,7,18,DA
ZDRAVSTVENA STANICA DONJI DUŠNIK,GADŽIN HAN,DONJI DUŠNIK,BB,43.156666,22.0782065,+381 18847002,,0,24,0,24,DA
DOM ZDRAVLJA MEROŠINA,MEROŠINA,CARA LAZARA,,43.2831124,21.7213288,,+381 638106198,7,22,7,22,NE
DOM ZDRAVLJA DOLJEVAC,DOLJEVAC,DR MIHAJLA TIMOTIJEVIĆA,6,43.2003169,21.8315114,+381 270219,,7,22,7,22,DA
DOM ZDRAVLJA DR.LJUBINKO ĐORĐEVIĆ SVRLJIG,SVRLJIG,HADZIĆEVA,40,43.4156072,22.1183508,+381 18821402,,7,22,7,22,DA
DOM ZDRAVLJA RAŽANJ,RAŽANJ,DR MILORADA MIHAJLOVIĆA,5,43.6792869,21.5485217,+381 373841480,+381 668065974,0,24,0,24,NE
OPŠTA BOLNICA ALEKSINAC,ALEKSINAC,MOMČILA POPOVIĆA,144,43.5384207,21.7009718,+381 18804215,,0,24,0,24,DA
DOM ZDRAVLJA PROKUPLJE,PROKUPLJE,ĆIRILA I METODIJA,4,43.2442414,21.5976414,+381 27322634,,0,24,0,24,DA
DOM ZDRAVLJA,KURŠUMLIJA,DR MELGARDA,1,43.1415126,21.2717888,+381 27380747,+381 648227060,7,22,7,22,DA
DOM ZDRAVLJA ŽITORAĐA,ŽITORAĐA,TOPLIČKI HEROJI,55,43.1889834,21.7120701,+381 278362079,,7,22,7,22,DA
DOM ZDRAVLJA ALEKSINAC,SELO ŽITKOVAC,DRAGOLJUBA VUJIĆA,11,43.5098733,21.6947317,+381 184100500,+381 62268412,0,24,0,24,DA
DOM ZDRAVLJA BLACE,BLACE,BRAĆA VUKSANOVIĆ,55,43.2989156,21.2850166,+381 27371153,,7,22,7,22,NE
DOM ZDRAVLJA SOKOBANJA,SOKOBANJA,MITROPOLITA MIHAILA,23,43.6432809,21.8692421,+381 18830078,,7,22,7,22,NE
DOM DRAVLJA NIŠ (CENTRALNI OBJEKAT),NIŠ,VOJVODE TANKOSIĆA,15,43.3227737,21.9079345,+381 70303503,+381 694555168,7,22,7,22,DA
ZA ČAIR (INFUZIONI CENTAR),NIŠ,ZETSKA,BB,43.3145802,21.9113428,+381 184235988,+381 694555212,7,22,7,22,DA
